canal,cogs_pvp_cesta_vendida,cogs_pvp_cesta_devuelta,cm_reportado,cm_r1,cm_r0,cm_r1_iva_uniforme,cm_r0_iva_uniforme,contribucion_r0_eur,contribucion_r1_eur
wholesale,42.61,42.2,55.77,55.68,53.82,43.9,41.54,957949.0,991166.0
TODOS,42.5,42.34,46.27,46.14,37.22,43.76,34.45,3287796.0,4075586.0
retail,42.53,42.25,44.1,43.71,35.25,43.71,35.25,600568.0,744789.0
marketplace,42.56,42.46,44.06,43.7,34.84,43.7,34.84,151893.0,190527.0
online,42.46,42.36,44.22,43.75,32.11,43.75,32.11,1577386.0,2149104.0
