canal,lineas,lineas_con_devolucion,ingreso_neto_eur,coste_producto_eur,transporte_eur,devolucion_eur,contribucion_eur,cm_observado,cm_iva_igualado,cm_sin_devolucion,contribucion_escenario_eur,cm_escenario
wholesale,7281,347,1780060.0,791980,30047,1432,956601.0,53.74,41.44,43.91,-22432.0,-2.8
TODOS,49250,8141,8832564.0,5341506,203243,33596,3254218.0,36.84,34.05,43.76,2178613.0,27.74
retail,9819,1473,1703817.0,1062522,40521,6079,594695.0,34.9,34.9,43.73,594695.0,34.9
marketplace,2519,404,435954.0,273579,10395,1667,150312.0,34.48,34.48,43.72,53740.0,12.33
online,29631,5917,4912733.0,3213426,122280,24418,1552609.0,31.6,31.6,43.74,1552609.0,31.6
